Season,Y/M/D,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total,Match_ID,Won,Attack_Efficiency,SERVE_Efficiency,RECEPTION_Efficiency,BLOCK_Efficiency,DIG_Efficiency,Serve_Efficiency,Reception_Efficiency
2021,2021-05-29,Poland,Serbia,3,1,26,25,21,25,0,24,19,25,15,0,76,46,13,17,-,46,10,36,92,13,24,9,46,17,20,59,96,25,6,38,69,29,7,38,25,0,67,92,2021-05-29_Poland_Serbia,1,1.0,-0.05084745762711865,0.5,-1.2222222222222223,0.5789473684210527,-0.05084745762711865,0.5
2021,2021-05-29,Serbia,Poland,1,3,24,19,25,15,0,26,25,21,25,0,54,45,3,6,-,45,18,30,93,3,18,5,26,6,15,63,84,22,17,37,76,38,8,48,27,0,62,89,2021-05-29_Poland_Serbia,0,0.9,-0.14285714285714285,0.13513513513513514,-3.0,0.625,-0.14285714285714285,0.13513513513513514
2021,2021-05-30,Argentina,United States,1,3,25,21,15,19,0,23,25,25,25,0,46,36,9,1,-,36,21,42,99,9,13,6,28,1,15,65,81,16,6,50,72,28,12,42,28,0,69,97,2021-05-30_Argentina_United States,0,0.35714285714285715,-0.2153846153846154,0.2,-0.6666666666666666,0.38095238095238093,-0.2153846153846154,0.2
2021,2021-05-30,United States,Argentina,3,1,23,25,25,25,0,25,21,15,19,0,72,54,12,6,-,54,16,35,105,12,14,5,31,6,25,66,97,30,1,35,66,30,11,47,37,0,63,100,2021-05-30_Argentina_United States,1,1.0857142857142856,-0.2878787878787879,0.8285714285714286,-0.4,0.40425531914893614,-0.2878787878787879,0.8285714285714286
2021,2021-05-30,Australia,France,1,3,26,25,14,23,0,28,20,25,25,0,58,47,8,3,-,47,18,46,111,8,25,22,55,3,21,65,89,24,7,48,79,44,6,57,31,2,74,107,2021-05-30_Australia_France,0,0.6304347826086957,-0.27692307692307694,0.3541666666666667,-0.7727272727272727,0.6666666666666666,-0.27692307692307694,0.3541666666666667
2021,2021-05-30,France,Australia,3,1,28,20,25,25,0,26,25,14,23,0,66,49,10,7,-,49,17,41,107,10,22,23,55,7,18,72,97,22,3,43,68,42,10,62,37,0,63,100,2021-05-30_Australia_France,1,0.7804878048780488,-0.1527777777777778,0.4418604651162791,-0.5217391304347826,0.5161290322580645,-0.1527777777777778,0.4418604651162791
2021,2021-05-30,Brazil,Canada,3,1,25,25,22,27,0,17,20,25,25,0,72,60,6,6,-,60,18,41,119,6,14,12,32,6,12,80,98,26,2,43,71,45,13,63,29,2,85,116,2021-05-30_Brazil_Canada,1,1.024390243902439,-0.075,0.5581395348837209,-0.6666666666666666,0.5079365079365079,-0.075,0.5581395348837209
2021,2021-05-30,Canada,Brazil,1,3,17,20,25,25,0,25,25,22,27,0,66,52,12,2,-,52,15,44,111,12,17,13,42,2,17,69,88,28,6,52,86,35,19,60,24,1,81,106,2021-05-30_Brazil_Canada,0,0.8409090909090909,-0.21739130434782608,0.4230769230769231,-0.38461538461538464,0.26666666666666666,-0.21739130434782608,0.4230769230769231
2021,2021-05-30,Bulgaria,Germany,2,3,25,21,25,28,11,19,25,22,30,15,79,55,14,10,-,55,23,46,124,14,26,20,60,10,24,77,111,24,9,55,88,43,7,57,32,0,89,121,2021-05-30_Bulgaria_Germany,0,0.6956521739130435,-0.18181818181818182,0.2727272727272727,-0.6,0.631578947368421,-0.18181818181818182,0.2727272727272727
2021,2021-05-30,Germany,Bulgaria,3,2,19,25,22,30,15,25,21,25,28,11,74,53,12,9,-,53,23,44,120,12,19,23,54,9,22,79,110,25,10,52,87,47,14,68,22,0,97,119,2021-05-30_Bulgaria_Germany,1,0.6818181818181818,-0.16455696202531644,0.28846153846153844,-0.30434782608695654,0.4852941176470588,-0.16455696202531644,0.28846153846153844
